buildroot login: root
# [   24.728085][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.192547][   T47] xhci_hcd 0000:00:04.0: ff0409
[   25.192609][   T47] xhci_hcd 0000:00:04.0: 8
[   25.192689][   T47] xhci_hcd 0000:00:04.0: 30840
[   25.192753][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.192812][   T47] xhci_hcd 0000:00:04.0: 12a3000
[   25.192891][   T47] xhci_hcd 0000:00:04.0: 1
[   25.193073][   T47] xhci_hcd 0000:00:04.0: ff
[   25.193161][   T47] xhci_hcd 0000:00:04.0: 10c05
[   25.193249][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.193342][   T47] xhci_hcd 0000:00:04.0: 0
[   25.193422][   T47] xhci_hcd 0000:00:04.0: 0
[   25.193508][   T47] xhci_hcd 0000:00:04.0: 0
[   25.193563][   T47] xhci_hcd 0000:00:04.0: 1021
[   25.193769][   T47] xhci_hcd 0000:00:04.0: got 0
[   25.195014][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.195139][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.195225][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.195293][    C0] xhci_hcd 0000:00:04.0: trb complete code:13
[   25.195383][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.195472][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.195565][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   25.195670][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.196198][   T47] usb 1-1: submitted urb:
[   25.196312][   T47] usb 1-1: pipe:2147484288d,stream:0d
[   25.196405][   T47] usb 1-1: control request! transfer flag:0
[   25.196500][   T47] usb 1-1: req type:80
[   25.196580][   T47] usb 1-1: req6
[   25.196652][   T47] usb 1-1: index:409
[   25.196703][   T47] usb 1-1: value:303
[   25.197092][   T47] usb 1-1: length:ff
[   25.200043][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.200210][   T47] xhci_hcd 0000:00:04.0: 3030680
[   25.200318][   T47] xhci_hcd 0000:00:04.0: ff0409
[   25.200424][   T47] xhci_hcd 0000:00:04.0: 8
[   25.200521][   T47] xhci_hcd 0000:00:04.0: 30840
[   25.200632][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.200824][   T47] xhci_hcd 0000:00:04.0: 12a3000
[   25.200926][   T47] xhci_hcd 0000:00:04.0: 1
[   25.201022][   T47] xhci_hcd 0000:00:04.0: ff
[   25.201123][   T47] xhci_hcd 0000:00:04.0: 10c05
[   25.201229][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   25.201338][   T47] xhci_hcd 0000:00:04.0: 0
[   25.201439][   T47] xhci_hcd 0000:00:04.0: 0
[   25.201538][   T47] xhci_hcd 0000:00:04.0: 0
[   25.201604][   T47] xhci_hcd 0000:00:04.0: 1021
[   25.201935][   T47] xhci_hcd 0000:00:04.0: got 0
[   25.203333][    C0] xhci_hcd 0000:00:04.0: handle events!
[   25.203632][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.203868][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.203953][    C0] xhci_hcd 0000:00:04.0: trb complete code:13
[   25.204085][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   25.204200][    C0] xhci_hcd 0000:00:04.0: trb transfer!
[   25.204300][    C0] xhci_hcd 0000:00:04.0: trb complete code:1
[   25.204511][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   25.205009][   T47] usb 1-1: New USB device found, idVendor=328f, idProduct=0073, bcdDevice= 1.00
[   25.205177][   T47] usb 1-1: New USB device strings: Mfr=2, Product=1, SerialNumber=3
[   25.205435][   T47] usb 1-1: Product: HD Webcam eMeet C950
[   25.205560][   T47] usb 1-1: Manufacturer: EMEET
[   25.205662][   T47] usb 1-1: SerialNumber: SN0001
[   25.209469][   T47] usb 1-1: usb choose configuration!
[   25.209686][   T47] usb 1-1: configuration #1 chosen from 1 choice
[   25.209951][   T47] usb 1-1: set configuration 1
[   25.210332][   T47] xhci_hcd 0000:00:04.0: xhci endpoint init for ep index 6,type 7
[   25.213516][   T47] xhci_hcd 0000:00:04.0: xhci_configure_endpoint
[   25.213960][   T47] xhci_hcd 0000:00:04.0: slot ctx=================================================================
[   25.214172][   T47] xhci_hcd 0000:00:04.0: slot_ctx:devinfo: 38300000
[   25.214311][   T47] xhci_hcd 0000:00:04.0: slot_ctx:devinfo2: 50000
[   25.214412][   T47] xhci_hcd 0000:00:04.0: slot_ctx:ttinfo: 0
[   25.214537][   T47] xhci_hcd 0000:00:04.0: slot_ctx:dev_state: 0
[   25.214637][   T47] xhci_hcd 0000:00:04.0: ctrl ctx=================================================================
[   25.214926][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:add_flags: 81
[   25.215056][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:drop_flags: 0
[   25.215196][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:rsvd 0: 0
[   25.215333][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:rsvd 1: 0
[   25.215455][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:rsvd 2: 0
[   25.215566][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:rsvd 3: 0
[   25.215682][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:rsvd 4: 0
[   25.215799][   T47] xhci_hcd 0000:00:04.0: ctrl_ctx:rsvd 5: 0
[   25.215954][   T47] xhci_hcd 0000:00:04.0: endpoint 0=================================================================
[   25.216102][   T47] xhci_hcd 0000:00:04.0: ep_info1_32: 0
[   25.216196][   T47] xhci_hcd 0000:00:04.0: ep_info2_32: 400026
[   25.216332][   T47] xhci_hcd 0000:00:04.0: deque_32: 1011b4031
[   25.216481][   T47] xhci_hcd 0000:00:04.0: tx_info_32: 0
[   25.216633][   T47] xhci_hcd 0000:00:04.0: endpoint 1=================================================================
[   25.216825][   T47] xhci_hcd 0000:00:04.0: ep_info1_32: 0
[   25.216937][   T47] xhci_hcd 0000:00:04.0: ep_info2_32: 0
[   25.217020][   T47] xhci_hcd 0000:00:04.0: deque_32: 0
[   25.217095][   T47] xhci_hcd 0000:00:04.0: tx_info_32: 0
[   25.217215][   T47] xhci_hcd 0000:00:04.0: endpoint 2=================================================================
[   25.217386][   T47] xhci_hcd 0000:00:04.0: ep_info1_32: 0
[   25.217511][   T47] xhci_hcd 0000:00:04.0: ep_info2_32: 0
[   25.217632][   T47] xhci_hcd 0000:00:04.0: deque_32: 0
[   25.217742][   T47] xhci_hcd 0000:00:04.0: tx_info_32: 0
